127.0.0.1 - - [07/Apr/2020:12:34:03 +0100] "GET / HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/login.jsp HTTP/1.1" 200 5137
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 200 7354
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/vendor/animate/animate.css HTTP/1.1" 200 23848
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/vendor/animsition/css/animsition.min.css HTTP/1.1" 200 27478
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/vendor/select2/select2.min.css HTTP/1.1" 200 15196
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/css/util.css HTTP/1.1" 200 86814
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/css/main.css HTTP/1.1" 200 10101
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/vendor/animsition/js/animsition.min.js HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/vendor/bootstrap/js/popper.js HTTP/1.1" 200 81670
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/vendor/select2/select2.min.js HTTP/1.1" 200 66664
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 200 69776
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:13 +0100] "GET /Prjt-NewsJDBC/loginCss/vendor/daterangepicker/moment.min.js HTTP/1.1" 200 46645
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:14 +0100] "GET /Prjt-NewsJDBC/loginCss/vendor/countdowntime/countdowntime.js HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:14 +0100] "GET /Prjt-NewsJDBC/loginCss/js/main.js HTTP/1.1" 200 1806
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:14 +0100] "GET /Prjt-NewsJDBC/loginCss/fonts/poppins/Poppins-Regular.ttf HTTP/1.1" 200 145312
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:15 +0100] "GET /Prjt-NewsJDBC/loginCss/fonts/poppins/Poppins-Bold.ttf HTTP/1.1" 200 141260
0:0:0:0:0:0:0:1 - - [07/Apr/2020:12:34:15 +0100] "GET /Prjt-NewsJDBC/loginCss/images/bg-01.jpg HTTP/1.1" 200 24337
0:0:0:0:0:0:0:1 - - [07/Apr/2020:13:05:03 +0100] "GET /Prjt-NewsJDBC/inscription.jsp HTTP/1.1" 200 5244
0:0:0:0:0:0:0:1 - - [07/Apr/2020:13:05:04 +0100] "GET /Prjt-NewsJDBC/loginCss/images/inscri.jpg HTTP/1.1" 200 814709
0:0:0:0:0:0:0:1 - - [07/Apr/2020:13:15:15 +0100] "GET /Prjt-NewsJDBC/AjoutReaction.jsp HTTP/1.1" 500 2784
0:0:0:0:0:0:0:1 - - [07/Apr/2020:13:15:44 +0100] "GET /Prjt-NewsJDBC/AfficheNews.jsp HTTP/1.1" 500 2926
